epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,54266.4,1.79968,1.1777,0.00416,0.56101,0.37027,0.3474,0.18145,1.50052,1.31565,0.00455,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396,0.0186119,0.00620396
92,54936.4,1.79899,1.18358,0.00422,0.56196,0.37079,0.34748,0.18155,1.50061,1.31655,0.00454,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406,0.0184022,0.00613406
93,55603.1,1.79108,1.16783,0.00416,0.55699,0.37016,0.34752,0.18155,1.50021,1.31705,0.00454,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064,0.018192,0.006064
94,56273.8,1.78886,1.15587,0.00412,0.55925,0.36701,0.34756,0.18157,1.49758,1.32057,0.00455,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938,0.0179814,0.0059938
95,56957.8,1.79063,1.15704,0.00416,0.55893,0.36762,0.34789,0.18176,1.49716,1.32112,0.00455,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349,0.0177705,0.00592349
96,57640.8,1.78577,1.16094,0.00414,0.5594,0.36763,0.34801,0.18182,1.49686,1.32188,0.00455,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307,0.0175592,0.00585307
97,58308.3,1.78618,1.15666,0.00408,0.55963,0.36975,0.34814,0.18184,1.49738,1.32345,0.00461,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256,0.0173477,0.00578256
98,58981,1.78091,1.14537,0.00407,0.55908,0.3707,0.34808,0.1819,1.49753,1.32376,0.0046,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198,0.0171359,0.00571198
99,59651.3,1.7769,1.14347,0.0041,0.56232,0.37392,0.34812,0.18198,1.49722,1.32456,0.00459,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135,0.016924,0.00564135
100,60318.8,1.78272,1.1462,0.0041,0.56632,0.37493,0.3483,0.18203,1.49714,1.32489,0.00459,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068,0.016712,0.00557068
101,60999.7,1.78023,1.14306,0.00405,0.56566,0.37588,0.34851,0.18216,1.496,1.3267,0.00459,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
102,61668.7,1.77658,1.14074,0.0041,0.5647,0.37619,0.34834,0.18211,1.49524,1.32706,0.00457,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932,0.016288,0.00542932
103,62342.7,1.77336,1.13151,0.00408,0.55955,0.37581,0.34906,0.18265,1.49521,1.33025,0.00458,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865,0.016076,0.00535865
104,63017.9,1.77379,1.12236,0.00406,0.56392,0.37702,0.34938,0.1828,1.49738,1.33139,0.00453,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802,0.0158641,0.00528802
105,63689.1,1.76875,1.11264,0.00405,0.56355,0.37736,0.34958,0.18292,1.49757,1.33173,0.00458,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744,0.0156523,0.00521744
106,64362.6,1.76451,1.12379,0.004,0.56873,0.37733,0.34954,0.18291,1.49608,1.33315,0.00457,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693,0.0154408,0.00514693
107,65032.5,1.76069,1.10806,0.00404,0.56647,0.37752,0.34975,0.18304,1.49635,1.33401,0.00459,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651,0.0152295,0.00507651
108,65701.8,1.76431,1.10609,0.00402,0.57397,0.37662,0.34957,0.18302,1.49649,1.33533,0.00453,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062,0.0150186,0.0050062
109,66376.6,1.76794,1.11403,0.00405,0.57518,0.37674,0.34925,0.18278,1.49395,1.33697,0.00454,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936,0.014808,0.004936
110,67049.4,1.76137,1.10858,0.00408,0.57655,0.37717,0.34945,0.18283,1.49247,1.33904,0.00451,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594,0.0145978,0.00486594
111,67722.2,1.76273,1.10492,0.00398,0.57665,0.37744,0.34937,0.18282,1.49238,1.33956,0.00451,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604,0.0143881,0.00479604
112,68408.5,1.75496,1.08793,0.00398,0.57674,0.37763,0.34946,0.1829,1.49257,1.34002,0.0045,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632,0.014179,0.00472632
113,69092.2,1.75318,1.09857,0.00403,0.57325,0.37741,0.34978,0.18303,1.49264,1.33966,0.00449,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678,0.0139704,0.00465678
114,69784.6,1.7541,1.09486,0.00396,0.57246,0.37769,0.34996,0.18312,1.49424,1.34106,0.00458,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746,0.0137624,0.00458746
115,70464.8,1.75468,1.09095,0.00398,0.57759,0.37805,0.35017,0.18328,1.4939,1.34189,0.00458,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836,0.0135551,0.00451836
116,71138.7,1.7507,1.08319,0.00398,0.57934,0.37736,0.35039,0.18343,1.49499,1.34143,0.0046,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495,0.0133485,0.0044495
117,71815.7,1.74384,1.07933,0.00396,0.57862,0.37753,0.35059,0.18349,1.49584,1.34205,0.00461,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809,0.0131427,0.0043809
118,72501.4,1.74793,1.08113,0.004,0.57367,0.37811,0.35074,0.18362,1.49587,1.34285,0.00462,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257,0.0129377,0.00431257
119,73184.4,1.74733,1.0708,0.00393,0.56708,0.37846,0.35069,0.18361,1.49596,1.34412,0.00466,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454,0.0127336,0.00424454
120,73865.3,1.74229,1.07341,0.00397,0.56891,0.37675,0.35095,0.18376,1.50006,1.34398,0.00463,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682,0.0125305,0.00417682
121,74535.5,1.74137,1.06558,0.00397,0.58147,0.37529,0.35116,0.18389,1.50419,1.33995,0.00467,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942
122,75204.7,1.74176,1.06377,0.00398,0.56592,0.37609,0.35128,0.18389,1.50468,1.34071,0.00464,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237,0.0121271,0.00404237
123,75886.3,1.73645,1.06235,0.00398,0.56476,0.37567,0.35169,0.184,1.50566,1.3404,0.0047,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568,0.011927,0.00397568
124,76565.7,1.73084,1.0479,0.00388,0.54879,0.37567,0.35188,0.18413,1.50217,1.34222,0.00473,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936,0.0117281,0.00390936
125,77247.1,1.72503,1.06195,0.00399,0.53768,0.37631,0.35238,0.18423,1.50349,1.34146,0.00474,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344,0.0115303,0.00384344
126,77933,1.72649,1.05485,0.00393,0.51836,0.37669,0.35274,0.18452,1.50416,1.34232,0.0047,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792,0.0113338,0.00377792
127,78618.3,1.72909,1.0469,0.0039,0.50883,0.37665,0.35313,0.18466,1.50397,1.34463,0.0047,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283,0.0111385,0.00371283
